# 13534 voids from default
# VoidID RA(deg) Dec(deg) redshift R_eff(Mpc/h) delta_min delta_avg lambda_v DensRatio Theta_eff(deg) EdgeFlag
103787 338.673833 -31.277 1.675 145.7790 -0.823 -0.311239 -122.893402 2.202668 2.573847 0
108771 349.622863 -0.515 1.480 192.5962 -0.812 -0.242186 -133.575385 1.902340 3.670522 1
21230 208.632687 56.558 1.364 193.6714 -0.811 -0.303926 -168.751253 1.813356 3.889759 0
46853 89.486686 -67.396 1.578 153.4778 -0.806 -0.330591 -138.850033 2.141165 2.809944 1
24282 147.086616 52.395 0.963 167.2245 -0.801 -0.295574 -137.602203 1.748688 4.284467 0
697 191.326903 -2.991 1.722 190.1456 -0.798 -0.202898 -110.199730 2.154424 3.301564 0
106905 12.381201 -18.989 1.421 188.8259 -0.795 -0.225667 -121.546135 1.679675 3.693354 0
98197 342.382383 -39.390 1.541 164.6677 -0.793 -0.270667 -123.698810 1.550883 3.059212 0
111515 14.862247 6.892 1.975 179.4694 -0.791 -0.188860 -95.703670 1.808008 2.879976 1
26784 185.749586 72.405 1.634 184.1031 -0.791 -0.180597 -94.358841 1.630733 3.299727 0
79721 31.270468 -27.285 0.854 152.8157 -0.789 -0.251362 -105.027088 1.996599 4.285396 1
104340 0.350370 -29.585 1.498 174.6288 -0.788 -0.331393 -162.510698 1.382982 3.302727 0
18172 199.033975 56.258 1.648 136.8930 -0.784 -0.234884 -86.002541 2.152119 2.440286 0
87409 34.586952 -14.345 1.045 193.7985 -0.784 -0.304322 -169.103737 1.577317 4.675871 0
16675 134.905739 13.223 1.128 182.4632 -0.782 -0.262611 -135.744794 1.856292 4.170988 0
99722 324.815973 -28.519 1.806 219.5579 -0.781 -0.199361 -128.676404 1.558682 3.708090 0
100343 348.397118 1.580 1.058 158.8883 -0.779 -0.203704 -89.188626 2.098634 3.801683 0
28292 249.257825 40.799 1.508 122.6240 -0.779 -0.335718 -107.712225 1.571536 2.309306 0
30496 129.067921 67.278 1.174 173.2778 -0.778 -0.229080 -111.295894 1.839106 3.852163 1
99290 8.949870 36.406 1.501 180.0911 -0.778 -0.206423 -105.038659 1.916562 3.402077 1
73237 59.759776 -45.087 1.435 182.4567 -0.778 -0.286967 -148.327981 1.240354 3.545843 0
25456 234.916148 37.457 1.049 160.2584 -0.777 -0.257328 -113.833804 1.800781 3.856850 0
68645 12.610422 -68.647 0.912 106.4602 -0.773 -0.202420 -54.812196 1.643746 2.841749 1
911 183.835636 -4.595 1.555 172.2794 -0.773 -0.231157 -111.528764 1.865375 3.183378 0
72816 357.661085 -72.387 1.781 135.5828 -0.771 -0.200604 -72.608200 1.774602 2.307966 1
2117 150.797094 3.491 1.662 156.9360 -0.768 -0.257800 -111.211737 1.237978 2.784193 1
46919 90.382673 -22.447 1.806 165.5607 -0.768 -0.245623 -112.984201 1.853507 2.796125 1
4933 209.345796 28.494 1.675 202.1901 -0.768 -0.237310 -138.748485 1.510479 3.569863 0
24662 199.455067 68.347 1.686 170.4407 -0.767 -0.238753 -113.720133 1.637743 2.996873 0
110570 356.225621 -5.469 1.715 211.2697 -0.766 -0.171690 -105.815288 1.796715 3.677637 0
75018 59.464581 -38.849 1.492 152.5068 -0.765 -0.233862 -97.478017 1.616998 2.891618 0
24268 145.660775 58.697 1.400 180.6488 -0.764 -0.283976 -145.038458 1.668772 3.568006 0
5078 165.563809 -5.970 1.143 150.0995 -0.764 -0.238486 -97.525671 1.813024 3.398367 0
63666 71.040357 -61.496 2.029 212.2339 -0.764 -0.108354 -67.146692 1.755462 3.355425 0
45446 266.579421 51.832 1.569 158.0276 -0.764 -0.236592 -102.915378 1.937022 2.903308 0
82151 49.509636 -32.907 1.408 162.8352 -0.763 -0.314523 -141.824187 1.559758 3.204221 0
6029 201.303025 39.767 1.677 215.8963 -0.763 -0.187100 -118.349934 1.703480 3.809659 0
66822 67.601460 -59.035 1.685 176.5460 -0.763 -0.207920 -103.306201 1.545096 3.105487 0
2546 176.905435 -23.603 1.478 143.1958 -0.763 -0.223509 -86.379784 1.529842 2.731195 0
101152 32.171579 34.963 1.925 185.5155 -0.762 -0.265587 -140.043665 1.696308 3.020301 1
99333 9.760168 20.415 1.188 196.4427 -0.762 -0.281043 -158.728650 1.594317 4.330265 1
84959 46.255676 -16.968 1.214 178.7773 -0.761 -0.253718 -127.975442 1.705530 3.882343 0
91178 50.024930 -5.953 1.583 194.2786 -0.761 -0.165898 -92.459248 1.386414 3.549383 1
76751 343.963078 -52.728 1.004 153.1143 -0.761 -0.262819 -110.071554 1.480609 3.803337 0
96717 354.778909 -26.613 1.165 172.8188 -0.760 -0.220104 -106.595142 1.773016 3.862269 0
19916 140.534104 53.999 1.788 191.7962 -0.760 -0.189364 -103.921725 1.806091 3.257537 0
96968 0.290348 28.173 1.133 160.0698 -0.760 -0.292511 -129.215106 1.469217 3.647651 1
108280 16.622962 27.696 1.877 215.5640 -0.760 -0.177468 -112.050112 1.500127 3.559810 1
38855 111.234591 76.478 1.884 181.3181 -0.759 -0.155992 -80.025949 1.996974 2.988039 1
95794 20.303698 9.300 1.068 144.7227 -0.759 -0.275893 -107.990169 1.529380 3.438740 0
94762 339.486666 16.810 1.024 166.7967 -0.759 -0.236337 -109.687547 1.342791 4.085743 1
14522 204.648813 45.927 1.468 178.7501 -0.758 -0.217455 -109.664374 1.910393 3.423691 0
13612 178.292024 49.283 1.391 181.9483 -0.758 -0.235110 -121.118143 1.181257 3.608316 0
5636 158.703251 34.417 1.613 184.9769 -0.758 -0.206195 -108.347482 1.544753 3.340823 0
5056 216.299224 -26.945 1.890 150.6220 -0.757 -0.249360 -102.398519 1.648274 2.478186 1
51066 273.401789 48.372 0.882 157.1118 -0.757 -0.260416 -112.491026 1.623847 4.301609 1
91473 10.010171 32.847 1.113 123.6615 -0.756 -0.336471 -109.050965 1.655419 2.852386 1
94666 356.565378 -2.106 0.934 157.1067 -0.756 -0.199632 -86.231139 1.852704 4.119055 1
45748 269.265943 39.643 0.858 112.4272 -0.755 -0.253309 -73.231119 1.670485 3.142923 1
29255 251.139679 43.703 1.602 199.7333 -0.755 -0.241226 -138.984063 1.417892 3.622692 0
106280 340.009849 -21.566 1.592 195.6379 -0.754 -0.254176 -142.849559 1.512189 3.562952 0
1170 158.891387 0.734 1.604 172.8235 -0.754 -0.147529 -71.449826 1.697661 3.132844 0
8457 183.141398 40.102 1.367 175.4934 -0.753 -0.268624 -132.513020 1.437840 3.520025 0
24799 124.261411 3.137 0.875 184.9504 -0.753 -0.202509 -106.392449 1.793554 5.092923 1
109329 353.408031 -14.098 1.547 148.6869 -0.753 -0.229273 -92.699956 1.507917 2.755828 0
10121 148.308623 35.180 1.533 146.1610 -0.753 -0.221725 -87.824038 1.387190 2.724932 0
102818 338.682515 -17.402 1.316 160.4199 -0.753 -0.115526 -51.166950 1.809435 3.299658 0
17849 121.234625 19.873 1.805 129.5064 -0.753 -0.245867 -84.226662 1.668139 2.187322 1
93995 29.523902 -42.870 1.693 121.5300 -0.752 -0.235916 -74.882141 1.590516 2.132138 0
65176 67.934351 -51.165 0.975 180.8657 -0.752 -0.230387 -117.838137 1.682785 4.591257 1
30875 252.042424 27.087 1.009 179.9142 -0.752 -0.202747 -103.046485 1.567517 4.454465 1
7889 143.286395 39.152 1.920 158.4048 -0.752 -0.135971 -59.315695 1.793135 2.582797 1
58031 282.216328 60.137 1.381 194.1919 -0.752 -0.193097 -107.560235 1.823048 3.868611 0
103049 354.340479 12.818 1.191 175.7791 -0.752 -0.227118 -112.256534 1.966675 3.869319 1
33276 254.078825 22.076 0.879 143.8318 -0.751 -0.266724 -103.630782 1.333421 3.947572 1
1125 173.035830 22.679 1.684 190.4767 -0.751 -0.275624 -150.012193 1.528056 3.352478 0
85159 38.452109 -6.630 1.024 177.5427 -0.751 -0.251308 -125.709773 1.430058 4.349296 0
21709 227.153107 38.296 1.273 180.3192 -0.751 -0.258657 -131.817901 1.571803 3.793017 0
86580 16.785942 29.372 0.974 188.4490 -0.750 -0.241702 -129.871386 1.551247 4.788456 0
107581 344.581287 -28.467 1.742 191.2548 -0.750 -0.262377 -143.502805 1.603748 3.299048 0
81819 44.485137 -44.790 1.731 222.8649 -0.750 -0.202190 -132.864655 1.604349 3.858730 0
63461 81.558027 -32.217 1.924 227.9515 -0.750 -0.157657 -106.444483 1.843341 3.711742 1
110142 350.381442 10.343 1.701 147.9058 -0.750 -0.134645 -54.096856 1.468376 2.587025 0
60065 277.817239 39.821 1.868 180.6242 -0.750 -0.191258 -97.667475 1.691174 2.991576 0
106929 35.230826 2.576 1.810 173.7983 -0.750 -0.202712 -98.840326 1.763743 2.931391 1
16840 229.243777 38.600 1.806 184.5291 -0.749 -0.185899 -97.399192 1.387508 3.116080 0
3251 222.031407 -13.938 2.068 172.2830 -0.748 -0.199453 -96.234568 1.724808 2.695806 1
94127 359.628254 17.107 0.972 129.7342 -0.748 -0.244456 -83.920208 1.356337 3.301408 1
37854 141.601908 76.884 0.882 121.1329 -0.748 -0.265704 -84.006458 1.728400 3.316362 1
106886 346.645373 -15.768 1.460 157.7879 -0.748 -0.353240 -153.376546 1.608814 3.033332 0
1361 188.432207 -2.288 1.485 149.6434 -0.748 -0.262375 -106.903554 1.613984 2.845457 0
110194 26.058513 14.713 2.042 192.0482 -0.747 -0.157699 -86.680593 1.675032 3.025881 1
384 177.369349 -7.471 1.854 171.9296 -0.747 -0.184666 -88.880890 1.588637 2.859372 1
6319 143.156613 -4.177 1.400 150.9970 -0.747 -0.248555 -102.372685 1.393442 2.981728 0
77768 36.072002 -57.406 1.716 200.2614 -0.747 -0.139359 -80.547195 1.438820 3.484630 0
1141 155.038412 4.043 1.807 187.8180 -0.747 -0.210488 -112.645051 1.671285 3.170086 1
94175 10.301047 -45.362 1.488 151.3127 -0.747 -0.318545 -131.528812 1.637768 2.874330 0
89972 22.378543 -25.156 1.009 195.4523 -0.747 -0.255418 -143.383800 1.198000 4.839721 0
2593 196.825933 23.811 1.552 171.1899 -0.747 -0.244501 -117.072160 1.317975 3.166853 0
27859 116.105711 36.276 1.067 145.2833 -0.746 -0.213683 -84.028989 1.451458 3.453477 0
14296 144.201573 -15.520 1.001 156.1077 -0.746 -0.281818 -120.803197 1.591760 3.887081 0
72804 70.667063 -25.495 1.887 177.8280 -0.746 -0.209828 -105.163039 1.422091 2.927778 1
36463 105.532287 56.202 1.429 188.5876 -0.746 -0.182415 -98.101530 1.832749 3.674826 1
36837 129.179406 74.800 0.866 120.2388 -0.745 -0.284362 -89.109744 1.738567 3.337083 1
90747 4.038705 40.083 1.177 176.4451 -0.745 -0.274492 -136.289147 1.427122 3.915010 1
1519 207.345420 2.261 1.709 181.7658 -0.745 -0.165231 -85.017082 1.576692 3.170227 0
107278 11.456262 26.744 1.597 225.2949 -0.745 -0.200512 -133.487959 1.379662 4.095269 0
14553 138.020453 9.661 1.101 193.2914 -0.745 -0.229470 -127.110212 1.773151 4.493197 0
24110 159.745113 56.041 0.976 168.3006 -0.745 -0.315578 -148.050536 1.718972 4.270429 0
3398 196.730670 23.240 1.472 102.4048 -0.744 -0.224937 -58.136080 1.306346 1.958203 0
25656 238.839614 33.920 1.193 140.4225 -0.744 -0.177430 -66.980944 1.959832 3.086197 0
98819 25.944770 -5.735 1.196 147.7602 -0.744 -0.248758 -99.826438 1.247550 3.242396 0
69958 72.689425 -23.972 1.384 151.2329 -0.744 -0.155024 -63.969657 1.770586 3.008842 1
27640 247.729787 26.502 1.109 137.1167 -0.744 -0.304761 -111.806633 1.402963 3.171888 0
100070 16.106772 37.505 1.537 199.6004 -0.744 -0.215895 -124.290152 1.369366 3.714477 0
37757 256.706756 52.743 1.277 164.1112 -0.744 -0.260032 -118.356737 1.390919 3.444422 0
18647 193.731883 59.659 1.734 162.7668 -0.744 -0.227652 -102.600579 1.725001 2.814629 0
48691 269.694385 36.779 1.722 215.7695 -0.744 -0.225444 -142.504081 1.461839 3.747318 0
599 177.755796 -25.752 1.953 217.0201 -0.743 -0.227083 -144.538660 1.657747 3.504338 1
100743 354.908462 -38.336 1.547 196.2034 -0.743 -0.279968 -157.890466 1.247777 3.636970 0
6795 148.656597 19.636 1.406 136.6075 -0.743 -0.234597 -85.682308 1.484789 2.691047 0
3753 151.481439 30.034 1.723 202.5401 -0.743 -0.217664 -127.526351 1.383876 3.516486 0
10147 137.515364 12.010 1.436 157.0044 -0.743 -0.237060 -102.318040 1.573339 3.050446 0
23935 119.184654 34.148 1.468 173.1301 -0.743 -0.161540 -78.401766 1.405558 3.316513 0
80503 52.334854 -28.195 1.326 206.1914 -0.743 -0.287714 -172.220898 1.381628 4.219344 0
82926 50.019651 -27.604 1.407 137.6955 -0.743 -0.256932 -94.737324 1.380524 2.710421 0
55714 77.850140 -54.878 1.019 166.7089 -0.743 -0.239042 -110.872800 1.547873 4.097178 1
38495 124.954749 76.793 1.075 162.4667 -0.742 -0.218315 -98.175090 1.546974 3.842259 1
93884 330.948273 -42.672 1.764 159.9261 -0.742 -0.159683 -70.463265 1.419184 2.737914 0
71813 343.230349 -61.682 0.898 116.2110 -0.742 -0.279253 -84.002992 1.569201 3.137369 1
103336 9.228446 -22.280 1.351 149.7429 -0.742 -0.255489 -104.180681 1.517744 3.026755 0
20641 232.944702 36.417 1.605 185.4458 -0.742 -0.323956 -170.744494 1.446981 3.359740 0
48856 90.093899 -66.871 1.964 124.2517 -0.742 -0.186399 -60.758498 1.526600 2.000197 1
84249 37.801126 -35.466 1.197 187.2631 -0.742 -0.270581 -144.291310 1.607074 4.107889 0
105901 327.678243 -18.636 1.748 161.4497 -0.742 -0.196865 -87.864559 1.490410 2.778709 0
9055 221.852456 1.796 1.434 164.3037 -0.741 -0.215747 -98.338181 1.648207 3.195669 0
13391 135.970629 2.003 1.269 188.7211 -0.741 -0.154638 -83.233940 1.651467 3.977545 0
7581 215.446474 13.238 1.417 177.8437 -0.741 -0.202705 -101.604214 1.708931 3.484342 0
798 149.682993 0.826 1.966 151.4653 -0.741 -0.317741 -131.355549 1.430144 2.436626 1
25192 139.394612 42.651 0.854 97.2317 -0.740 -0.229494 -55.736617 1.579946 2.726677 1
80189 26.527446 -52.116 1.414 167.2302 -0.739 -0.363267 -169.123519 1.336819 3.281893 0
102725 342.146283 11.662 1.304 139.4285 -0.739 -0.204926 -76.704316 1.354398 2.884810 1
5002 225.126157 8.811 1.846 145.7563 -0.739 -0.207573 -81.945197 1.803945 2.430341 1
74814 311.790800 -42.761 1.096 174.4444 -0.739 -0.181013 -88.653775 1.443855 4.068653 1
4294 213.965999 -16.187 1.617 177.0066 -0.739 -0.112092 -55.867983 2.044148 3.192065 0
85880 44.654166 -28.705 1.385 181.3964 -0.739 -0.258878 -132.876951 1.354186 3.607645 0
106743 347.037050 -27.159 1.577 148.4513 -0.739 -0.283643 -114.464944 1.529998 2.718777 0
95336 13.343852 -40.081 1.360 165.5507 -0.739 -0.280059 -128.814969 1.574137 3.331606 0
18385 138.728966 29.009 1.083 136.1258 -0.738 -0.239695 -87.174150 1.763887 3.202089 1
3304 170.906247 19.326 1.277 147.0736 -0.738 -0.253973 -101.351292 1.500339 3.086383 0
25046 123.103847 13.524 0.913 138.1677 -0.738 -0.124226 -45.994098 1.465050 3.684615 0
27374 196.354107 63.606 0.856 126.4656 -0.738 -0.290356 -96.671251 1.489280 3.540050 1
3806 173.565102 30.138 1.496 140.7202 -0.737 -0.219241 -82.975260 1.424888 2.663963 0
4665 200.418741 27.791 1.430 147.7787 -0.737 -0.242287 -97.244186 1.420039 2.878225 0
4215 177.863680 31.388 1.390 131.2328 -0.737 -0.262772 -91.459910 1.105639 2.603511 0
7962 193.754917 34.288 1.340 155.0550 -0.737 -0.249538 -106.101122 1.489781 3.150801 0
110011 344.789418 -5.831 1.725 188.2307 -0.737 -0.202050 -108.414706 1.634071 3.264963 0
78005 346.344221 -63.978 1.745 188.8943 -0.737 -0.239864 -129.249368 1.570977 3.254204 0
21866 214.109094 55.068 1.477 134.4038 -0.737 -0.249213 -89.261368 1.343227 2.564449 0
20099 216.323373 55.144 1.749 162.5919 -0.736 -0.141134 -63.525956 1.489191 2.797371 0
11369 199.347218 -33.237 1.136 225.3470 -0.736 -0.129509 -86.242335 1.512055 5.125700 1
31681 247.585073 57.611 1.282 159.8854 -0.736 -0.220637 -97.330454 1.484460 3.345866 0
100879 2.409253 -37.751 1.509 150.8017 -0.736 -0.231867 -95.351368 1.204090 2.839511 0
92224 356.469454 -49.558 1.569 145.5064 -0.736 -0.270526 -106.577837 1.344686 2.673705 0
1217 205.300101 -21.349 2.035 201.6102 -0.736 -0.170576 -99.387774 1.383147 3.181972 1
74394 46.331504 -57.919 1.612 165.2621 -0.736 -0.236892 -108.732146 1.449049 2.986755 0
89407 331.656913 -32.057 1.180 155.1896 -0.736 -0.226356 -96.344465 1.659878 3.437495 0
73416 58.571650 -44.090 1.412 141.3664 -0.736 -0.270292 -102.860446 1.043124 2.775899 0
94634 15.652253 42.469 1.455 128.9208 -0.735 -0.136049 -46.353679 1.971481 2.483948 1
2151 202.907387 13.908 1.500 156.9719 -0.734 -0.236311 -101.969691 1.362516 2.965660 0
87337 354.327729 -50.620 1.478 141.7502 -0.734 -0.311715 -119.010777 1.219608 2.703427 0
70497 11.477124 -65.101 0.875 127.4702 -0.734 -0.097654 -32.823295 1.656408 3.511428 0
7156 136.584616 0.513 1.614 192.4609 -0.734 -0.228498 -125.919876 1.293686 3.475534 0
51998 82.218481 -65.062 1.696 115.1790 -0.734 -0.316954 -94.328738 1.589763 2.018578 0
785 188.842856 12.962 1.748 145.4125 -0.734 -0.218682 -86.086708 1.568305 2.503086 0
