# 691293 non-edge tracers in default, 15288 voids
# VoidID CoreParticle CoreDens Zone#Parts Void#Zones Void#Parts VoidVol(Mpc/h^3) VoidDensRatio
25124 332966 0.058468 341 1 341 237814643.260167 2.846525
50059 479163 0.077282 189 1 189 226514659.174184 1.359635
25358 335511 0.078059 88 1 88 69465493.128035 1.322999
21548 291336 0.078393 175 1 175 121634500.943226 1.317359
24096 319896 0.079371 102 1 102 127730755.589543 2.477013
27856 364721 0.083488 131 1 131 98064692.692293 1.544530
29366 378158 0.086836 162 1 162 195062982.767009 1.139876
33528 404546 0.089949 116 1 116 123238575.515484 1.100425
74372 607353 0.092009 128 1 128 75359254.816998 2.698395
22465 301170 0.092340 218 1 218 245863853.493832 1.943184
26321 347794 0.094204 121 1 121 119197674.723732 1.535172
76156 624410 0.095217 204 1 204 226971279.342617 1.168783
51984 486175 0.098188 23 1 23 26813739.626138 1.831442
73135 594369 0.101466 95 1 95 126164459.681444 1.096800
73293 596094 0.102342 204 1 204 131276011.910725 1.970052
28025 366274 0.102899 103 1 103 97305433.685769 1.228948
44093 457011 0.103673 50 1 50 89662932.783741 2.579958
58642 512310 0.105594 82 1 82 126180772.419898 1.309040
30898 389335 0.108643 23 1 23 20715676.245222 1.048554
27165 357181 0.112845 137 1 137 141382231.161748 1.281566
27849 364648 0.116476 14 1 14 11648841.212123 1.588851
62329 526327 0.116653 80 1 80 42980943.198809 3.731077
53573 492089 0.119974 26 1 26 40930844.912700 2.373644
71393 575126 0.123774 82 1 82 65563079.977800 2.451098
72474 587324 0.125183 122 1 122 50106521.403436 1.884409
54249 494634 0.128184 44 1 44 67901825.004163 1.841915
12526 197953 0.128725 58 1 58 43223893.795152 1.573331
71832 579748 0.128860 53 1 53 28213495.442911 2.174740
24714 327445 0.129165 170 1 170 118064724.323761 1.288510
74766 611753 0.129910 62 1 62 40846738.753873 2.370760
54994 497449 0.131882 80 1 80 87508081.462728 1.267654
25368 335567 0.132278 28 1 28 14788478.561489 1.232417
27477 360792 0.132768 98 1 98 131152523.115548 1.532266
26047 344227 0.133621 26 1 26 8813636.078267 1.220035
61016 521504 0.134945 100 1 100 33804601.230250 2.932320
77777 637843 0.135039 20 1 20 25825573.311711 1.289267
21988 296017 0.135054 37 1 37 18838960.527552 2.805282
94402 751707 0.135263 74 1 74 74904887.035047 2.405277
63152 529594 0.135699 24 1 24 25060154.369433 1.018626
37785 427122 0.136256 21 1 21 11992435.944395 2.188829
81718 664455 0.136515 144 1 144 87940351.968217 1.592734
16891 243254 0.136913 23 1 23 20672283.678394 1.494624
25993 343502 0.137314 130 1 130 168712108.562727 2.007429
28407 369869 0.138946 29 1 29 24644708.508415 1.442607
21606 291999 0.139643 21 1 21 23267510.683521 1.284942
79847 652217 0.139861 81 1 81 35124056.056266 2.532913
31570 393467 0.143825 88 1 88 87201210.868218 1.351745
49759 478109 0.144450 101 1 101 91626024.110253 1.768461
