# 41491 superclusters from default
# ClusterID RA(deg) Dec(deg) redshift R_eff(Mpc/h) delta_max delta_avg lambda_c DensRatio Theta_eff(deg) EdgeFlag
125678 341.094540 -18.767692 1.196286 92.025340 18.475350 -0.036937 -51.252551 12.987759 2.019009 0
29059 241.403255 -1.647366 1.748686 89.644248 17.226310 0.417168 555.069405 11.179196 1.542636 1
89948 45.908026 -64.162630 1.295721 108.813821 16.031750 -0.110013 -199.589890 14.420156 2.261399 0
2091 159.976864 -13.755222 1.819502 87.641513 15.016100 -0.216672 -278.060502 9.547333 1.473581 0
15453 234.145303 6.841861 2.141488 61.312115 14.273030 0.505057 365.943932 9.918614 0.941361 1
72562 276.137098 16.881455 0.888348 151.289242 14.074960 0.082565 253.798098 6.133141 4.118354 1
29576 216.983316 10.974285 0.832811 70.331505 14.010270 -0.050956 -45.987150 10.642423 2.011631 1
117759 0.987829 50.983136 1.706738 117.713121 13.388050 0.102192 210.251055 7.230878 2.055033 1
30359 224.662084 39.892870 1.338060 113.716988 13.263130 -0.127101 -247.439715 7.085103 2.313340 0
50245 224.880605 78.595778 1.885627 106.417736 13.196250 -0.223569 -391.412338 9.937081 1.752962 1
10516 188.080052 45.060971 1.840605 117.495679 12.730200 -0.091051 -186.776381 9.177004 1.962426 0
87455 38.919575 -65.963926 0.961587 67.436430 12.633690 0.038590 32.561270 8.798403 1.729786 0
26615 224.978463 22.542708 1.189071 85.357258 12.411600 -0.122853 -151.136595 5.301157 1.880541 0
69929 274.438868 -47.945019 1.210107 123.114706 12.398680 -0.105160 -232.458265 7.431230 2.679854 1
83521 310.411637 -69.118351 1.071807 79.692526 12.329390 -0.262091 -288.881916 8.418577 1.888729 1
13958 168.570831 22.892057 1.109942 103.245135 12.083420 -0.082037 -136.836708 9.640542 2.386799 0
138104 12.465076 30.000544 1.912523 105.235957 11.921240 -0.076501 -131.561892 9.618706 1.719612 0
104226 45.812563 -32.157521 1.276754 106.031354 11.834410 -0.072570 -126.313797 7.329867 2.225468 0
112252 353.463467 50.469295 1.462561 124.756222 11.797600 -0.076210 -172.073020 7.233738 2.395572 1
106277 346.488478 -38.578927 0.951785 82.723991 11.763290 -0.249218 -291.601658 8.907985 2.138128 0
48316 257.643846 19.198687 1.304141 82.779948 11.523850 -0.171175 -200.502922 3.885005 1.712931 1
