# 12299 voids from default
# VoidID RA(deg) Dec(deg) redshift R_eff(Mpc/h) delta_min delta_avg lambda_v DensRatio Theta_eff(deg) EdgeFlag
37408 255.878484 48.793 0.894 132.8808 -0.802 -0.215797 -76.243147 2.110490 3.599389 1
59571 281.759326 50.425 1.809 225.2443 -0.796 -0.208656 -138.872041 2.197653 3.800536 1
2414 168.352092 14.104 1.387 187.7249 -0.796 -0.217090 -116.109115 2.014653 3.729726 0
13113 152.448107 -1.372 0.870 180.6856 -0.794 -0.222603 -113.720434 1.886669 4.998297 1
91812 31.380774 -35.278 1.568 188.6825 -0.794 -0.272860 -146.831167 1.353820 3.468536 0
43638 265.891926 67.706 0.966 158.5770 -0.791 -0.214105 -93.522419 1.781126 4.053977 1
11169 200.875881 7.475 0.942 199.5840 -0.787 -0.234432 -134.948362 1.925654 5.196605 0
95858 26.991797 -25.174 1.448 154.9232 -0.784 -0.260239 -110.538170 1.410159 2.994513 0
70974 49.108326 -43.944 1.051 178.1605 -0.782 -0.179133 -89.980665 1.885793 4.283324 0
91698 19.849124 8.442 1.005 197.7663 -0.779 -0.257745 -146.748078 1.759904 4.909433 0
13499 164.321823 39.703 1.122 177.9338 -0.777 -0.185649 -93.111429 1.725743 4.081535 0
32851 251.526278 51.013 0.945 169.8780 -0.776 -0.260497 -123.585528 1.770797 4.414090 0
89629 12.080707 3.941 0.941 190.5548 -0.775 -0.206492 -112.441766 2.058986 4.968418 0
88484 35.429475 -24.550 1.313 171.7247 -0.775 -0.285746 -137.334569 1.755840 3.536811 0
1901 150.814449 8.579 1.702 155.4982 -0.773 -0.278995 -119.032748 1.735609 2.719523 0
21377 234.748935 33.023 1.261 188.9931 -0.773 -0.220018 -118.629831 1.729798 3.999925 0
32787 232.303851 76.951 1.683 181.0609 -0.773 -0.243266 -124.586702 1.770207 3.187292 0
104638 8.904923 5.268 1.623 190.5646 -0.772 -0.225293 -122.687202 1.476333 3.429433 1
3184 215.497828 -27.130 2.090 142.7515 -0.771 -0.240258 -92.507108 2.296735 2.220609 0
104776 354.866543 -9.022 1.631 213.9843 -0.770 -0.204972 -128.278356 1.453354 3.839853 0
16618 142.591811 47.052 1.483 203.9772 -0.769 -0.201653 -119.152105 1.740145 3.881590 0
8706 185.388540 7.727 0.944 205.2917 -0.769 -0.205762 -122.521044 1.798397 5.337405 1
98740 18.402701 12.847 1.324 201.2789 -0.768 -0.149950 -87.197443 1.586540 4.123806 0
12724 139.718703 9.796 1.126 180.6802 -0.768 -0.225506 -115.199437 1.445401 4.133607 0
25410 219.623492 63.552 1.365 209.6912 -0.768 -0.248901 -152.027506 1.801305 4.210864 0
18587 162.207136 56.710 1.499 145.2827 -0.768 -0.237538 -93.409078 1.512628 2.746249 0
86101 4.025726 36.747 1.124 160.8555 -0.767 -0.328438 -145.940671 1.384629 3.685854 1
64241 321.145892 -70.156 0.937 170.9982 -0.765 -0.191102 -91.380717 1.536390 4.471948 1
78556 327.627225 -13.458 0.858 108.7870 -0.764 -0.131405 -36.517870 1.955571 3.040135 1
84356 357.042973 -51.378 1.514 207.2453 -0.764 -0.299069 -180.116150 1.503802 3.894107 0
3154 147.845865 -18.051 1.643 233.3403 -0.762 -0.179520 -124.652384 1.908333 4.167719 1
6824 209.470608 28.530 1.522 199.3969 -0.762 -0.263178 -151.325632 1.399943 3.733840 0
20855 146.740879 57.472 1.538 138.3578 -0.761 -0.330598 -122.603812 1.445491 2.574321 0
103446 5.269949 -30.072 1.860 160.9014 -0.761 -0.261902 -116.415625 1.859302 2.671029 0
4938 183.723666 45.715 1.819 194.2259 -0.761 -0.251393 -140.062338 1.521159 3.266660 0
86432 28.152899 -3.833 0.957 220.2135 -0.760 -0.259569 -168.138105 1.751719 5.670355 0
69786 46.624411 -45.796 0.949 165.0939 -0.759 -0.175407 -80.412435 1.767353 4.277645 0
25166 213.408152 53.652 0.878 122.4815 -0.758 -0.366343 -117.374151 1.642223 3.364013 0
3734 211.312861 23.663 1.639 173.1107 -0.758 -0.242958 -117.901642 1.397321 3.096304 0
2687 184.355006 30.751 1.574 175.6685 -0.758 -0.257347 -127.101618 1.370810 3.221216 0
20792 231.088838 1.775 0.953 137.4427 -0.758 -0.188496 -69.350424 1.664688 3.549178 1
97231 1.745740 1.548 1.124 203.6237 -0.758 -0.257674 -151.937597 1.440524 4.665318 1
69249 36.970818 -69.427 1.931 203.9381 -0.757 -0.174214 -102.915697 1.369011 3.314769 1
46278 88.152899 -66.549 1.800 155.0610 -0.757 -0.212310 -90.276388 1.344293 2.623262 1
1360 149.347269 9.825 1.867 188.1517 -0.756 -0.238957 -128.153429 1.494242 3.116478 1
105257 0.057833 18.884 1.859 174.3469 -0.756 -0.126183 -61.758666 1.796108 2.895466 1
74730 315.752332 -46.982 1.434 126.3342 -0.756 -0.137696 -45.787361 1.654502 2.457013 0
77437 54.339887 -27.512 1.436 159.3393 -0.755 -0.323107 -141.949444 1.428461 3.096139 0
5652 195.416041 -36.842 1.563 139.7031 -0.755 -0.135230 -50.736396 2.291615 2.572788 0
26972 110.671728 36.755 1.464 151.2570 -0.755 -0.199191 -82.210738 1.765528 2.902981 1
103343 4.010608 -19.456 1.533 165.4349 -0.754 -0.307890 -141.497304 1.600771 3.083266 0
71352 61.885280 -34.543 1.609 181.1587 -0.753 -0.313197 -160.505158 1.375639 3.277023 0
37046 111.783670 65.826 1.103 168.9466 -0.753 -0.242071 -114.088460 1.626527 3.922821 0
2968 194.802938 12.098 1.326 186.1427 -0.753 -0.222579 -117.841843 1.757693 3.809523 0
10462 155.669117 -6.559 0.956 169.9194 -0.753 -0.254545 -120.796854 1.555086 4.378493 0
94658 354.657001 -37.802 1.514 171.3852 -0.753 -0.348343 -167.022350 1.519897 3.219881 0
99154 26.156172 -29.109 1.745 155.0857 -0.752 -0.238616 -101.481300 1.814228 2.672034 0
73232 53.788740 -23.035 1.092 185.3895 -0.752 -0.228064 -120.159772 1.953604 4.335174 0
4672 205.500117 -28.342 1.631 152.1170 -0.752 -0.148465 -61.693012 1.782390 2.729427 1
74336 50.647358 -28.017 1.106 187.5710 -0.752 -0.248600 -132.831211 1.765280 4.348123 0
77247 345.193092 -35.153 0.874 154.2607 -0.751 -0.250173 -105.717525 1.539339 4.252072 1
5776 202.853690 27.680 1.426 193.6329 -0.751 -0.222174 -123.330119 1.466093 3.778322 0
69743 61.280220 -38.928 1.296 160.2263 -0.750 -0.266894 -118.037269 1.125419 3.329705 0
97267 335.217912 -33.007 1.678 211.5494 -0.750 -0.285344 -176.142152 1.175695 3.730432 0
12935 126.408164 3.769 1.542 164.6191 -0.750 -0.265564 -121.323790 1.512004 3.056969 0
89170 356.549497 -3.486 0.909 159.2336 -0.750 -0.227430 -99.836430 1.432199 4.260750 1
20795 124.683687 38.239 1.636 171.8716 -0.750 -0.222345 -106.972298 1.608177 3.077530 0
5470 153.904152 24.385 1.413 204.2514 -0.749 -0.223567 -132.313861 1.440593 4.009074 0
99761 29.214887 31.443 1.847 169.0558 -0.749 -0.182844 -86.241675 1.954967 2.818202 1
4671 181.121222 -4.738 1.124 195.1985 -0.749 -0.188450 -105.625058 1.442045 4.471642 0
14613 152.264148 52.626 1.739 148.5749 -0.749 -0.227974 -92.091654 1.576500 2.565032 0
36614 235.185119 78.592 1.223 159.1562 -0.749 -0.262450 -115.142331 1.556076 3.439985 1
26369 250.106433 31.808 1.304 168.2076 -0.749 -0.279921 -131.235082 1.522270 3.480885 0
43486 266.739252 47.336 1.033 167.5841 -0.748 -0.259934 -121.322809 1.686162 4.079210 0
82053 46.634665 -18.833 1.364 228.2950 -0.748 -0.259400 -175.454745 1.656510 4.586460 1
81489 349.440845 -37.344 0.947 204.3213 -0.748 -0.193542 -114.591379 1.215755 5.299529 0
80882 21.653074 -41.627 1.075 179.1822 -0.748 -0.222814 -112.692568 1.791133 4.238352 0
17411 222.624688 17.727 0.982 132.5845 -0.748 -0.125680 -44.285040 1.813056 3.348105 0
98981 330.033756 -19.876 1.590 193.5171 -0.748 -0.198602 -110.165879 1.695639 3.527189 0
58954 284.673894 54.274 1.762 165.7061 -0.747 -0.212304 -97.760757 1.996003 2.838556 0
96077 350.034892 -32.751 1.450 140.7191 -0.747 -0.320261 -121.206930 1.291621 2.717109 0
94351 8.606257 20.695 1.087 219.2212 -0.747 -0.247110 -159.202473 1.556675 5.144365 1
20402 233.099102 43.992 1.623 182.8451 -0.747 -0.231593 -120.011934 1.663722 3.290304 0
1764 168.580598 31.979 1.929 207.4304 -0.747 -0.173962 -104.882148 1.771059 3.373211 0
40570 96.844700 -64.986 1.600 170.6685 -0.747 -0.158808 -75.762711 1.869879 3.097665 0
11416 141.718203 18.886 1.187 161.6496 -0.746 -0.286408 -128.018882 1.517540 3.566404 0
70216 322.116781 -52.133 0.928 123.7386 -0.746 -0.228514 -74.117314 1.335253 3.260444 1
819 197.269646 -19.583 1.874 140.1679 -0.746 -0.076461 -28.801829 2.340083 2.316908 0
17752 134.538073 20.568 1.109 157.2739 -0.746 -0.245792 -106.305647 1.533480 3.637803 0
23297 145.217805 60.395 1.466 112.7571 -0.746 -0.365209 -105.953189 1.825663 2.161626 0
103118 328.938133 -19.687 2.063 186.7476 -0.746 -0.184899 -98.274530 1.825272 2.925983 1
28558 125.452923 65.918 1.595 171.1393 -0.746 -0.191420 -91.623343 1.742364 3.112701 1
25888 123.401694 59.873 1.881 155.1668 -0.746 -0.205863 -87.606534 1.507125 2.559904 1
70026 12.892067 -61.960 1.041 180.6436 -0.746 -0.204994 -104.695810 1.603204 4.370901 0
46834 270.715140 38.781 1.370 190.1909 -0.746 -0.268882 -146.079667 1.481480 3.809664 0
874 181.688756 -7.371 1.620 194.6441 -0.746 -0.173656 -97.001724 1.545793 3.507146 0
17347 206.856073 56.501 1.703 153.8812 -0.745 -0.206994 -87.212924 1.451903 2.690339 0
70266 57.021192 -49.840 1.631 163.9887 -0.745 -0.267891 -121.824437 1.385350 2.941751 0
11246 219.124323 35.634 1.578 183.8059 -0.745 -0.313633 -163.550975 1.361549 3.364589 0
15781 125.703083 2.908 1.484 141.2670 -0.745 -0.328156 -124.775548 1.392926 2.687141 0
26625 119.830609 55.221 1.383 168.6447 -0.745 -0.213308 -100.316860 1.464582 3.357478 0
19221 152.682526 59.962 1.819 178.6204 -0.745 -0.261574 -131.799177 1.531514 3.003698 0
97628 24.663703 3.466 1.267 152.6511 -0.745 -0.206876 -86.327773 1.548887 3.221027 0
21505 138.624100 32.379 0.944 171.6314 -0.744 -0.227949 -109.484666 1.584470 4.463186 1
85522 25.287300 -15.029 0.998 175.7540 -0.744 -0.272102 -134.467911 1.311102 4.386090 1
8668 147.452628 37.041 1.620 154.0503 -0.744 -0.228644 -96.461721 1.484648 2.775651 0
72216 63.428355 -25.163 1.494 189.6649 -0.744 -0.237664 -128.691004 1.766679 3.592636 0
30295 109.830046 51.862 1.272 195.0173 -0.743 -0.220130 -123.244450 1.620876 4.103935 1
104499 333.675775 -10.346 1.931 224.4350 -0.743 -0.203873 -135.104036 1.647573 3.647158 1
22513 172.485666 55.764 0.996 168.2528 -0.743 -0.272881 -127.976056 1.297422 4.205247 1
4537 195.643842 -9.008 1.179 130.1038 -0.743 -0.229773 -79.149380 1.890545 2.883161 0
22947 134.278840 45.398 1.043 139.1498 -0.742 -0.276130 -103.108148 1.819285 3.362744 1
85006 324.673266 -7.867 1.023 132.2207 -0.742 -0.255637 -89.780909 1.398978 3.240190 1
46610 89.650119 -30.187 1.469 191.5595 -0.742 -0.223760 -122.616057 1.561929 3.667293 1
100161 355.947191 -30.955 1.542 187.6307 -0.742 -0.281120 -150.264486 1.258855 3.484690 0
76027 37.081325 -25.380 0.921 138.1012 -0.742 -0.309520 -114.531557 1.598010 3.656785 1
15514 177.326851 57.006 1.554 145.4901 -0.741 -0.256983 -101.228769 1.637284 2.689274 0
26915 119.589952 54.830 1.532 166.9113 -0.741 -0.131514 -61.087950 1.443521 3.111967 0
28781 227.982614 62.710 0.878 142.4178 -0.741 -0.244926 -94.039977 1.560476 3.910137 1
10073 212.374318 33.628 1.408 153.8039 -0.741 -0.214174 -90.183592 1.403682 3.025947 0
11159 191.449034 -3.004 0.874 148.3523 -0.741 -0.180511 -72.787533 1.582278 4.088862 0
84953 12.543769 -48.962 1.404 202.9284 -0.741 -0.267386 -157.018299 1.357970 4.000146 0
2907 197.795636 -4.368 1.350 155.3796 -0.740 -0.231593 -98.718451 1.423591 3.142572 0
3537 149.303996 -4.474 1.507 146.8868 -0.740 -0.226594 -90.287603 1.529380 2.768056 1
5368 161.380329 -4.193 1.114 181.2307 -0.740 -0.197245 -101.131166 1.449878 4.179915 0
86035 329.836186 -34.123 1.315 136.7140 -0.740 -0.228359 -83.482319 1.614663 2.812955 0
92230 15.107367 -32.691 1.278 163.1969 -0.740 -0.216240 -97.766734 1.494765 3.422708 0
20942 115.501064 9.082 1.651 139.8478 -0.740 -0.145135 -54.520492 1.937164 2.490884 0
9295 189.972332 49.062 1.783 199.0741 -0.740 -0.189976 -109.022485 1.558325 3.387227 0
9623 224.788701 5.283 1.475 162.9804 -0.739 -0.233142 -105.240641 1.630578 3.112510 0
45401 88.867831 -54.910 1.156 168.9603 -0.739 -0.210618 -99.274132 1.791725 3.795514 1
275 167.327297 -0.436 1.992 183.8603 -0.739 -0.177389 -92.536259 1.692322 2.936272 1
90907 29.987231 -34.856 1.501 147.2354 -0.739 -0.332952 -133.044227 1.071214 2.780618 0
16965 169.240904 61.489 1.800 153.9891 -0.739 -0.173496 -73.160578 1.262984 2.605509 0
3062 156.679961 18.029 1.431 202.5617 -0.739 -0.251425 -147.325208 1.510051 3.944695 0
69306 37.093097 -69.468 1.933 159.8894 -0.739 -0.180622 -79.681075 1.272230 2.597138 0
93994 17.664444 -40.921 1.623 189.5846 -0.739 -0.288472 -156.123296 1.260112 3.411118 0
93145 36.428150 36.758 2.040 199.5642 -0.739 -0.265015 -152.535185 1.462707 3.145542 1
91116 352.225651 -44.751 1.548 160.3550 -0.739 -0.300457 -133.009223 1.477896 2.970826 0
60993 66.091874 -61.860 1.332 164.5707 -0.738 -0.211687 -96.675553 1.382148 3.357852 0
88169 21.864995 -25.522 1.061 213.6390 -0.738 -0.205477 -128.345133 1.342169 5.099438 0
8122 198.550890 33.716 1.346 182.1148 -0.738 -0.283130 -146.015950 1.438765 3.689629 0
85655 15.258015 -56.213 1.974 234.5028 -0.738 -0.178507 -124.690294 1.661345 3.764612 0
92465 33.386069 4.806 1.276 198.2665 -0.738 -0.223037 -127.372856 1.569343 4.163533 0
75017 49.492006 -17.518 1.005 173.3954 -0.738 -0.237264 -115.365590 1.620559 4.306086 1
12741 180.156111 26.082 0.912 143.0174 -0.738 -0.208491 -80.455273 1.469079 3.816246 0
22563 187.925702 53.574 0.874 150.4918 -0.738 -0.209553 -85.962459 1.594636 4.147815 1
16897 122.514202 0.771 1.495 158.2036 -0.737 -0.258120 -112.429610 1.374080 2.996198 0
9187 220.956165 -12.416 1.343 167.9460 -0.737 -0.114047 -53.368767 1.538805 3.407687 1
15565 162.321642 30.701 0.917 142.9689 -0.737 -0.277411 -107.007433 1.212840 3.800326 1
1432 151.361448 -18.620 1.960 174.7248 -0.737 -0.192767 -94.592617 1.632853 2.816026 1
75954 42.172910 -45.706 1.415 231.7752 -0.737 -0.290077 -199.799109 1.352204 4.546078 0
29939 212.832579 71.878 1.039 195.8718 -0.737 -0.183547 -103.303026 1.864656 4.745778 0
2104 206.892534 0.378 1.548 147.2844 -0.736 -0.279811 -111.854396 1.533601 2.729057 0
77716 47.926897 -42.549 1.585 172.3991 -0.736 -0.318653 -153.871995 1.349858 3.147454 0
88589 0.993600 -25.543 0.968 141.3451 -0.736 -0.247080 -94.010002 1.642740 3.608604 0
34415 257.144004 52.457 1.254 189.6759 -0.736 -0.272974 -147.820753 1.449345 4.029064 0
16907 121.476777 9.758 1.742 182.2238 -0.736 -0.197795 -102.080043 1.620114 3.142510 0
70917 325.386228 -64.444 1.629 157.8450 -0.736 -0.188566 -81.910696 1.934404 2.834420 0
100676 322.901303 1.765 1.723 193.5499 -0.736 -0.169985 -94.311119 1.818259 3.359802 1
62124 3.968086 -77.989 1.169 141.6271 -0.735 -0.175761 -67.034529 1.370535 3.157278 1
102873 10.008475 5.711 1.424 177.8276 -0.735 -0.264780 -132.703811 1.274003 3.473378 0
87502 339.521855 19.248 0.953 144.9070 -0.735 -0.199298 -78.128413 1.558622 3.740889 1
52676 80.312858 -48.076 0.877 146.9443 -0.735 -0.239082 -95.308196 1.639985 4.040063 1
103084 337.313192 18.594 1.710 206.6051 -0.735 -0.209794 -125.881575 1.814613 3.602790 1
20143 191.942632 47.433 0.952 190.8463 -0.735 -0.254963 -139.090334 1.494303 4.933372 0
89799 25.755991 40.763 1.520 229.1365 -0.734 -0.177588 -120.649618 1.319976 4.293682 0
893 187.510823 -22.026 1.891 184.6079 -0.734 -0.195688 -102.580268 1.682179 3.036450 1
2071 148.679866 -12.737 1.726 187.2724 -0.734 -0.150544 -80.284646 1.683413 3.247118 0
82946 57.631874 -7.046 1.958 148.4165 -0.734 -0.121751 -49.119363 2.134761 2.393313 1
68574 62.654047 -42.133 1.278 157.4402 -0.734 -0.246542 -106.765236 1.056085 3.302095 0
15665 202.515531 29.574 0.900 141.5859 -0.734 -0.188680 -71.936569 1.274207 3.817647 1
2276 192.403048 -25.676 1.557 161.5019 -0.734 -0.047259 -21.100584 2.116140 2.981094 0
85082 332.907955 -44.334 1.495 149.0716 -0.734 -0.276358 -112.084708 1.357402 2.822498 0
24606 160.868970 57.029 0.858 142.4916 -0.734 -0.233035 -89.530103 1.617229 3.984823 1
21045 191.448676 59.834 1.308 182.5691 -0.734 -0.265084 -137.118574 1.457673 3.769797 0
90388 5.362691 -46.084 1.594 153.1889 -0.733 -0.271360 -113.715145 1.679139 2.787798 0
89997 6.358801 38.132 1.281 160.1699 -0.733 -0.279252 -123.450704 1.424354 3.353997 0
1465 193.712916 25.245 1.719 217.0916 -0.733 -0.255541 -162.716559 1.522384 3.774113 0
81890 32.213522 -19.972 0.983 133.4912 -0.733 -0.217528 -77.278402 1.417236 3.369729 0
78362 35.352018 -46.254 1.313 148.7669 -0.733 -0.239296 -96.815184 1.198320 3.064410 0
27578 251.437045 43.062 1.684 207.8404 -0.733 -0.259344 -156.729863 1.347308 3.658040 0
11792 211.903822 1.703 1.002 182.0189 -0.733 -0.182251 -93.931167 1.238624 4.529337 0
78905 321.272172 -13.310 0.948 133.3289 -0.733 -0.292428 -103.735798 1.215250 3.455149 1
14413 217.742677 40.282 1.488 157.5033 -0.732 -0.355314 -153.943230 1.274727 2.991037 0
15796 226.505976 33.286 1.514 158.1905 -0.732 -0.278126 -121.131786 1.416354 2.972290 0
17310 125.842083 31.717 1.709 175.7933 -0.732 -0.205602 -101.631974 1.410946 3.066069 0
8472 158.852334 34.999 1.327 157.5393 -0.732 -0.236417 -102.458033 1.898196 3.222953 0
25665 116.334356 40.042 1.296 196.3282 -0.732 -0.169410 -95.613070 1.831539 4.080575 0
3432 172.191875 -10.945 1.212 174.1542 -0.732 -0.164523 -80.417082 1.797989 3.786816 0
6787 145.840729 -3.761 1.300 169.3613 -0.732 -0.227611 -107.589587 1.548329 3.511181 1
97705 28.968045 27.828 1.596 189.8857 -0.732 -0.194698 -105.572681 1.851212 3.451841 0
1877 190.648765 30.901 1.773 187.6701 -0.731 -0.240678 -128.680015 1.505632 3.203107 0
20231 119.666323 0.862 1.378 155.9479 -0.731 -0.247373 -105.907795 1.258712 3.111727 0
19715 228.451728 38.884 1.328 161.4671 -0.731 -0.281900 -125.833312 1.220472 3.301572 0
20226 152.535360 56.715 1.515 171.0969 -0.731 -0.272892 -130.581310 1.282773 3.212433 0
84400 30.869001 -48.474 1.708 161.0371 -0.731 -0.200220 -89.087996 1.621979 2.810531 1
98846 34.920652 -3.228 1.617 183.8915 -0.731 -0.293341 -153.054813 1.258775 3.316947 0
26294 114.275188 43.370 1.415 159.9889 -0.731 -0.171087 -75.530796 1.834786 3.137649 0
78561 35.288223 -37.556 1.174 139.3598 -0.731 -0.307843 -115.157950 1.419899 3.097412 0
50058 87.431124 -34.748 0.967 176.8224 -0.731 -0.225174 -112.088938 1.325128 4.516604 0
13748 146.254861 45.218 1.592 168.3054 -0.730 -0.218363 -102.446567 1.181033 3.064292 0
100478 26.984613 -36.072 2.038 167.5221 -0.730 -0.170564 -79.574669 1.797034 2.642335 0
63987 37.570299 -72.383 1.204 168.8440 -0.730 -0.211252 -99.491076 1.460844 3.687125 1
37651 106.001675 58.258 0.870 135.7070 -0.730 -0.267186 -96.813665 1.318771 3.754863 1
85119 44.885630 -24.418 1.534 170.4997 -0.730 -0.290039 -138.205087 1.568540 3.177259 0
20311 124.585946 31.801 1.517 136.3880 -0.730 -0.223453 -81.454912 1.580806 2.558823 0
87007 13.262163 10.981 0.912 132.1295 -0.730 -0.297685 -104.461594 1.507442 3.526296 0
79759 330.333302 -27.516 0.911 172.9334 -0.730 -0.184682 -89.511784 1.210375 4.618008 0
10624 157.026997 43.957 1.542 145.0520 -0.730 -0.278287 -109.224741 1.465265 2.694350 0
50398 85.458549 -39.056 0.872 140.3552 -0.729 -0.160580 -60.585140 1.511679 3.876008 1
22817 231.247954 30.831 0.964 147.4714 -0.729 -0.274530 -109.910586 1.280759 3.774288 1
15194 134.064840 36.771 1.544 150.5718 -0.729 -0.268575 -110.244595 1.300055 2.793960 0
13707 177.885970 52.423 1.568 136.9758 -0.729 -0.264012 -96.737742 1.400561 2.517261 0
73823 58.123216 -27.814 1.472 171.0874 -0.729 -0.263371 -126.017122 1.292206 3.272478 0
27533 241.594997 41.819 0.940 137.7392 -0.729 -0.246361 -90.874429 1.334222 3.592943 1
99967 26.828967 -1.568 1.464 159.0504 -0.729 -0.267309 -117.180597 1.367657 3.051706 0
1021 161.478870 9.894 1.802 168.9010 -0.729 -0.208692 -98.324980 1.487395 2.856124 0
1136 166.002789 10.844 1.667 165.1694 -0.729 -0.247771 -113.649230 1.193026 2.924341 0
76488 329.342721 -41.358 1.079 189.3028 -0.729 -0.230692 -124.629476 1.410999 4.464586 0
100769 10.704721 -1.465 1.247 162.5628 -0.728 -0.201833 -90.827628 1.412479 3.466586 1
34440 227.975429 80.338 2.000 168.6058 -0.728 -0.160496 -75.459162 1.453494 2.686857 1
1450 175.359918 -17.465 1.576 165.3462 -0.728 -0.208063 -95.558307 1.445580 3.029408 0
7337 227.428531 6.147 1.830 197.2440 -0.728 -0.183019 -103.872681 1.452543 3.305412 0
2520 211.117975 17.174 1.742 222.1791 -0.728 -0.204889 -134.140981 1.376287 3.831937 0
9141 153.105674 43.361 1.775 150.3517 -0.728 -0.220513 -90.357266 1.509665 2.564877 0
17513 170.754267 59.985 1.710 125.8918 -0.728 -0.284505 -94.207889 1.210910 2.195339 0
84402 333.814791 -14.088 0.933 175.1353 -0.728 -0.204336 -100.552730 1.392941 4.592685 0
54406 83.086515 -23.480 1.270 164.6783 -0.728 -0.197208 -90.133717 1.594288 3.467958 0
46870 88.843827 -21.248 0.924 114.7719 -0.728 -0.236081 -69.962187 1.858652 3.031841 0
7532 217.946499 -7.208 1.314 159.6375 -0.728 -0.157935 -69.540867 1.665627 3.287172 0
2722 212.304346 6.418 1.609 173.9599 -0.728 -0.177676 -86.729589 1.505923 3.147666 0
99363 343.376488 -39.581 1.897 179.2341 -0.728 -0.156456 -79.158295 1.336305 2.942080 0
40984 260.573842 72.859 1.257 154.3328 -0.727 -0.211561 -89.451038 1.588868 3.273935 0
64951 67.039675 -37.170 0.961 167.7795 -0.727 -0.243257 -113.697877 1.427653 4.306156 0
93277 318.153562 -33.762 2.006 123.8896 -0.727 -0.182986 -59.437403 1.935589 1.970980 1
86360 357.510641 13.349 0.879 147.0544 -0.727 -0.227675 -90.842255 1.197575 4.036320 1
45477 262.546095 75.184 0.983 133.2163 -0.727 -0.216774 -76.820190 1.622413 3.361142 1
1608 146.465639 -13.789 2.044 193.6317 -0.727 -0.134897 -74.881633 1.936983 3.049320 1
5348 207.036504 32.086 1.600 163.7501 -0.727 -0.217739 -98.844685 1.467626 2.972319 0
43532 266.902327 34.850 0.909 136.1246 -0.727 -0.133764 -48.647897 1.608751 3.641967 1
12959 202.191631 -24.331 1.008 109.6656 -0.727 -0.155240 -43.559921 1.834911 2.716307 1
30751 247.321255 63.613 1.659 164.1049 -0.727 -0.223425 -101.689747 1.684654 2.913688 0
10444 124.773641 0.562 1.967 132.2378 -0.727 -0.284580 -99.961010 1.670497 2.126793 0
1038 176.118778 5.478 1.555 189.2562 -0.727 -0.238807 -128.975645 1.198686 3.496297 0
4612 211.938115 24.788 1.673 140.1208 -0.726 -0.286322 -107.809850 1.234986 2.475496 0
79226 322.263389 -10.376 0.934 104.1685 -0.726 -0.350883 -92.564894 1.187492 2.730810 0
101211 348.981891 1.554 1.294 177.8380 -0.726 -0.220101 -110.319479 1.180740 3.698467 1
87161 46.760441 -24.062 1.627 183.5292 -0.726 -0.283975 -147.817656 1.541572 3.298113 0
100527 1.332804 -36.939 1.736 165.1463 -0.726 -0.283474 -130.003853 1.308190 2.854129 0
104138 352.218398 13.157 1.619 159.5526 -0.726 -0.091783 -40.387484 1.963013 2.875646 1
