# 626778 non-edge tracers in default, 13961 voids
# VoidID CoreParticle CoreDens Zone#Parts Void#Zones Void#Parts VoidVol(Mpc/h^3) VoidDensRatio
25392 322892 0.032389 319 1 319 436392897.498522 2.054931
27387 342629 0.056949 203 1 203 231994905.114163 1.168703
30308 363405 0.059461 46 1 46 73006606.830725 1.119337
22502 288134 0.060166 293 1 293 231359989.079041 1.074922
20286 265772 0.062093 192 1 192 119889419.937101 1.041563
24053 306766 0.070955 341 1 341 239455489.747730 1.480463
29235 356989 0.071041 121 1 121 101604737.544100 1.495244
27845 346578 0.080447 39 1 39 43532699.480527 1.046991
25189 320251 0.085989 123 1 123 122415133.913184 2.477214
43780 428118 0.090457 237 1 237 205607618.481916 1.077280
70944 559920 0.093971 317 1 317 182720519.875725 1.857087
50392 451723 0.097058 46 1 46 63617026.503405 1.004012
57087 477622 0.098009 34 1 34 63204707.367905 1.369335
57535 479192 0.100383 13 1 13 17547775.971712 2.184696
31969 372417 0.101501 55 1 55 81870302.671020 1.708132
54240 466397 0.104166 56 1 56 87510188.939749 1.303339
59431 486068 0.105091 18 1 18 30579953.477065 1.684722
21981 282245 0.106511 69 1 69 106001939.496734 1.785702
55331 470751 0.107164 127 1 127 170080184.132966 1.448237
25879 328259 0.111051 80 1 80 169388311.045027 1.732989
70802 558557 0.120573 12 1 12 7910126.845899 1.447358
69744 548143 0.122613 122 1 122 199273326.069079 1.658326
20912 271887 0.125013 58 1 58 46067738.040184 1.447298
74561 591343 0.125646 32 1 32 31177754.732683 2.253835
73383 582036 0.126192 63 1 63 81545630.950025 2.242319
55500 471379 0.126639 23 1 23 34958304.352275 1.059759
52304 458766 0.126969 18 1 18 21607868.530456 2.672967
68244 531959 0.127395 96 1 96 57236092.817216 1.845237
19301 255853 0.130875 253 1 253 128557593.210003 2.767540
23155 295671 0.133331 187 1 187 128733952.656821 1.698363
53520 463479 0.133388 22 1 22 34218174.708790 1.368542
28314 350436 0.135546 13 1 13 13036828.783853 2.926268
42234 422008 0.135720 12 1 12 30865821.714445 1.143527
52783 460536 0.136789 12 1 12 24108894.386642 2.590490
18953 252505 0.137413 76 1 76 47074664.577873 1.302360
8601 142323 0.140051 23 1 23 19660242.025033 2.277899
23421 299012 0.140596 123 1 123 134606659.827242 1.515078
13945 200802 0.140892 79 1 79 57756489.015878 2.363340
91074 704269 0.141190 91 1 91 65107950.323952 2.313092
85574 665688 0.143989 37 1 37 52107296.519054 1.911389
53385 462908 0.144476 30 1 30 28998665.631050 2.266119
23216 296571 0.144788 48 1 48 24589220.573605 1.249621
69017 540460 0.145010 37 1 37 67917586.856590 2.669852
51495 455768 0.146754 30 1 30 25782381.806071 2.022199
29183 356686 0.147486 18 1 18 22667695.559999 2.157196
54771 468630 0.148631 23 1 23 35858897.597352 1.191197
66105 515220 0.150502 77 1 77 80777692.755131 1.799597
85662 666430 0.151264 57 1 57 29931913.274117 2.252738
75239 596073 0.151846 42 1 42 30919915.312464 2.216938
80277 629435 0.152475 76 1 76 46551129.592220 2.557286
67550 525390 0.155892 121 1 121 147278365.084427 1.445445
18725 249884 0.156199 60 1 60 60441308.288070 2.318846
65699 512974 0.156254 11 1 11 9791730.527190 1.595161
66921 520440 0.157598 67 1 67 64944751.755919 2.290183
26089 330188 0.157609 31 1 31 26124766.564762 1.091715
70520 555901 0.158316 20 1 20 15584982.333596 3.134498
59068 484740 0.160899 20 1 20 11392620.189738 2.058077
77902 613635 0.161025 17 1 17 25788842.934847 1.793688
8155 137356 0.164574 26 1 26 26322418.367774 2.218962
70091 551643 0.165270 120 1 120 77273631.722906 1.329924
31447 369718 0.166443 19 1 19 18142141.081572 3.818483
72846 577628 0.167503 32 1 32 24548306.209850 1.472713
27229 341168 0.167674 39 1 39 73338712.520909 1.147761
85086 662347 0.168022 44 1 44 18164589.832972 2.384344
68679 536594 0.168543 31 1 31 50185073.997227 1.478858
59029 484592 0.168766 70 1 70 27101516.694190 2.695242
25861 328088 0.170235 28 1 28 85096039.567930 1.128226
15736 219391 0.170937 25 1 25 21433234.498709 1.316006
21339 275858 0.171323 53 1 53 53504901.081938 1.110161
59677 486906 0.171516 55 1 55 25481388.653601 2.196415
67948 528871 0.172297 48 1 48 54124912.467724 2.252962
46458 437651 0.174808 24 1 24 23504264.892658 2.547303
9535 152618 0.174867 84 1 84 54144644.608162 2.085259
77535 611261 0.175143 20 1 20 20912471.190457 1.750154
67606 525931 0.175263 11 1 11 34192954.279988 1.322284
26030 329552 0.175725 70 1 70 64602403.708187 1.816630
75097 595034 0.175940 58 1 58 34132491.330589 1.733107
83731 652669 0.176361 10 1 10 11056239.508384 2.711225
20258 265542 0.177893 24 1 24 16253846.828011 1.461385
70457 555229 0.177931 16 1 16 11674463.070469 1.901193
72651 575978 0.179360 22 1 22 5310289.772590 3.332442
80271 629417 0.179436 60 1 60 44361063.913860 1.708279
48866 445942 0.179931 53 1 53 49521505.058642 2.141875
69164 541880 0.180675 80 1 80 60543768.574513 1.590575
10705 165389 0.180702 46 1 46 39472724.396851 1.362647
69837 549080 0.181313 74 1 74 40730386.784200 1.751855
23642 301905 0.181732 196 1 196 121283298.337652 1.451522
81503 637606 0.182162 23 1 23 16305372.494452 2.349774
18704 249660 0.182855 30 1 30 17440772.704098 1.316299
66893 520239 0.183163 29 1 29 28597671.826388 2.084257
9179 148813 0.183603 43 1 43 44167707.293046 2.188800
23215 296559 0.183666 117 1 117 106114256.675656 1.519711
47591 441516 0.184460 30 1 30 16485325.944152 1.916185
8131 137060 0.184963 22 1 22 12758530.346209 2.205474
58407 482330 0.185841 24 1 24 22457892.429573 1.687425
5503 106950 0.185902 78 1 78 37982020.842058 2.191513
33043 378275 0.186593 39 1 39 21435675.777479 1.791145
68285 532368 0.189025 32 1 32 14792739.648327 1.755041
25153 319878 0.189234 19 1 19 42087737.780591 1.311253
43289 426154 0.189525 31 1 31 9875242.452168 2.414465
71555 565935 0.189802 72 1 72 71071994.360252 1.256534
41524 419294 0.190420 75 1 75 46542117.051797 1.404267
68444 534147 0.190654 17 1 17 21617670.356497 1.152853
56291 474431 0.190657 60 1 60 57833123.142696 1.464398
69883 549574 0.191818 35 1 35 28063564.084556 1.901510
43360 426525 0.192307 23 1 23 8995080.691298 2.189635
56086 473621 0.192415 61 1 61 22677552.452478 2.298459
9312 150113 0.192758 58 1 58 36766392.502711 1.972956
44834 431910 0.193949 14 1 14 11888524.672133 1.833765
71512 565550 0.194510 32 1 32 20752558.253250 1.526744
69555 546291 0.194556 28 1 28 45433996.755750 1.157835
44633 431247 0.194723 50 1 50 14971432.076587 3.163050
22743 290816 0.195280 48 1 48 39008330.766074 1.883998
22919 292759 0.195522 61 1 61 47372408.810475 1.588963
9902 156660 0.196499 80 1 80 49707519.487665 2.059484
37408 400582 0.197788 89 1 89 9828237.740322 2.110490
24510 312191 0.198695 124 1 124 51056628.873770 1.739647
61947 495628 0.198835 15 1 15 18404396.830152 1.903641
13928 200622 0.199115 74 1 74 50887391.352989 1.129772
35468 390481 0.199957 42 1 42 20849842.294480 1.783146
27654 344839 0.201090 7 1 7 6413861.580823 1.144878
24499 312056 0.202610 12 1 12 19091754.470140 1.301948
68099 530515 0.202618 20 1 20 40743841.350657 1.003523
70210 552795 0.202910 16 1 16 12490520.154812 1.352364
70751 558050 0.202946 49 1 49 79601014.743236 1.912716
59571 486587 0.203729 233 1 233 47868502.354309 2.197653
2414 61961 0.204150 178 1 178 27711120.523112 2.014653
37980 403585 0.204406 33 1 33 22445777.813118 1.731277
13113 192137 0.205616 207 1 207 24709228.698428 1.886669
24533 312436 0.205687 42 1 42 29947258.454960 1.483080
91812 708961 0.206297 171 1 171 28137353.112055 1.353820
68452 534223 0.207075 24 1 24 40220379.786922 1.088172
28436 351326 0.207125 58 1 58 52094466.038899 1.199770
70191 552649 0.207368 16 1 16 28185829.933355 1.311320
22715 290474 0.207440 17 1 17 22718742.148425 1.401730
24983 317839 0.207738 13 1 13 15892559.596554 1.334977
25144 319803 0.207819 19 1 19 21008029.816616 1.016172
28031 348219 0.207944 56 1 56 76317568.218849 1.584125
22369 286677 0.209042 9 1 9 11435017.676235 1.953768
30656 365508 0.209200 50 1 50 38300635.254825 1.326897
63790 503391 0.209284 63 1 63 63178422.321294 1.780227
43638 427534 0.209453 136 1 136 16703561.581850 1.781126
14026 201918 0.209701 30 1 30 20567700.219434 1.146546
28817 354179 0.210887 56 1 56 40821283.118572 1.371819
39760 411895 0.211180 29 1 29 12058206.395518 2.581439
32589 375805 0.211440 21 1 21 17921532.080377 1.686307
26791 337301 0.211682 23 1 23 24491055.469360 1.032720
11169 170401 0.212694 264 1 264 33301648.907527 1.925654
52468 459308 0.213063 21 1 21 17595551.613695 1.564712
29084 356051 0.213136 31 1 31 26853717.721246 2.180360
70120 552003 0.213221 22 1 22 13582098.492754 1.267909
81679 638816 0.213300 125 1 125 56393044.000301 1.527460
57604 479436 0.213829 49 1 49 11222967.835121 2.829301
25316 321880 0.214015 93 1 93 93187685.585928 1.161142
78210 615458 0.215638 64 1 64 52174110.464351 1.513391
30815 366375 0.215867 53 1 53 35588503.029171 1.377889
95858 736242 0.216488 98 1 98 15575369.568994 1.410159
63344 501394 0.216512 10 1 10 11202982.389066 1.389163
26562 335134 0.216671 35 1 35 22115599.448279 1.008941
19122 254196 0.217559 15 1 15 10929928.111909 1.008351
48734 445513 0.217802 13 1 13 13573788.967195 1.551017
70974 560269 0.218195 179 1 179 23687709.554555 1.885793
56137 473822 0.218660 65 1 65 61043294.593009 1.375997
50307 451389 0.218777 13 1 13 13813122.393004 1.097188
77110 608584 0.219044 66 1 66 45291172.769936 1.775508
24461 311579 0.220939 19 1 19 29384222.477472 1.123087
70093 551657 0.220943 55 1 55 30590764.854477 1.501503
91698 708289 0.221030 208 1 208 32400027.755600 1.759904
60540 490182 0.221332 118 1 118 95621915.852296 1.672842
64929 508865 0.221747 51 1 51 33041221.364702 2.056030
16533 227803 0.222709 26 1 26 13787371.490846 2.024826
13499 196264 0.222907 169 1 169 23597382.240047 1.725743
46624 438216 0.223152 45 1 45 23508413.231020 2.017721
72561 575205 0.223156 36 1 36 26590169.746910 1.675039
