# 42593 superclusters from default
# ClusterID RA(deg) Dec(deg) redshift R_eff(Mpc/h) delta_max delta_avg lambda_c DensRatio Theta_eff(deg) EdgeFlag
40653 246.542892 -11.819837 1.136744 118.957543 24.503200 -0.146087 -305.660818 13.486459 2.704193 0
110026 28.276061 -24.977117 0.966769 79.335293 24.256900 -0.083559 -91.440751 20.445773 2.026913 0
1175 204.540277 -10.908847 2.075500 101.046335 18.460860 -0.156626 -252.404625 11.278924 1.577875 1
58501 94.151154 -14.417704 1.455170 106.109046 18.174880 0.238232 415.149763 4.609924 2.044103 1
42984 128.205794 -65.097491 1.650031 101.152532 15.759040 0.043347 69.972392 10.180046 1.802130 0
49657 180.192032 78.787639 1.266622 82.043866 15.560510 -0.091509 -105.666953 8.607570 1.731265 1
80981 278.739593 19.630300 1.654968 146.348432 15.268480 -0.325418 -948.554274 12.892828 2.602632 1
21054 189.456844 -0.595548 0.816046 73.767631 15.222960 -0.218277 -212.614327 15.691684 2.143443 1
122019 310.745684 -14.524819 1.859661 96.501396 15.106090 -0.066864 -100.102732 11.797046 1.602264 0
14124 158.850751 -1.724244 1.062500 110.776525 14.972530 -0.161389 -301.294168 11.651990 2.641894 0
100514 312.023181 -48.614400 1.679961 95.922414 14.619310 -0.295207 -437.722949 12.761094 1.690531 0
142052 29.996148 4.405380 2.143500 54.332303 14.519960 0.427797 255.464372 7.718421 0.833776 1
76905 276.509642 35.470002 2.025373 92.774090 14.455390 -0.072046 -101.272520 13.121517 1.468222 1
15993 151.477965 -3.011929 1.098786 86.417577 14.205960 0.055757 69.962174 8.953790 2.012136 0
57751 95.160585 -36.835658 1.665808 101.090785 13.669620 -0.150064 -241.999722 13.583182 1.790708 1
48779 258.272017 4.663264 1.300024 73.315014 12.912720 0.163712 157.902458 11.309978 1.520281 0
88610 44.863136 -73.162155 1.955214 91.463994 12.715120 0.075098 103.187719 7.567658 1.476110 1
52222 262.206570 7.224275 1.651416 103.840169 12.683990 0.048006 80.813129 5.158400 1.849074 0
