# 12629 voids from default
# VoidID RA(deg) Dec(deg) redshift R_eff(Mpc/h) delta_min delta_avg lambda_v DensRatio Theta_eff(deg) EdgeFlag
16256 184.157332 31.969 0.863 147.5273 -0.819 -0.290755 -116.459302 2.179744 4.103873 1
90547 28.658920 -33.085 1.410 174.0346 -0.812 -0.306085 -149.487218 2.184755 3.421624 0
1070 204.522485 7.796 1.734 154.9244 -0.807 -0.229395 -97.437999 1.746629 2.679245 0
36892 259.081911 51.900 1.130 220.3712 -0.802 -0.265681 -172.245098 1.853110 5.029214 0
25928 247.399588 11.610 1.085 181.9723 -0.799 -0.248512 -128.042184 1.454555 4.275675 1
47095 87.663007 -65.861 1.741 182.2278 -0.799 -0.290509 -149.933020 1.495414 3.144045 1
79785 31.012483 -37.313 1.134 162.8581 -0.796 -0.299267 -134.967953 1.700809 3.709423 0
87070 335.552894 -44.351 1.550 128.3693 -0.796 -0.249485 -84.566537 1.948821 2.376284 0
8684 202.798473 -15.467 1.095 179.6671 -0.794 -0.197254 -100.089628 1.938822 4.193266 1
24178 232.347518 29.824 0.908 141.1790 -0.793 -0.247966 -94.214068 2.138055 3.779407 1
3708 164.800770 -5.396 1.194 171.5057 -0.790 -0.259678 -124.614678 1.997476 3.767260 0
18336 124.666943 1.516 1.363 176.2894 -0.790 -0.235980 -117.043450 1.990247 3.543707 0
20677 144.001536 51.338 1.361 176.5364 -0.788 -0.191952 -95.366026 1.870321 3.550969 1
1864 164.882605 -6.729 1.437 186.9869 -0.787 -0.223929 -119.201914 2.306621 3.631445 0
522 178.122719 -16.220 1.864 202.4595 -0.785 -0.250501 -146.694788 2.106615 3.356988 0
1543 163.749712 13.784 1.560 155.9890 -0.784 -0.205691 -88.090085 1.972816 2.875764 0
75723 6.981075 -49.750 1.001 153.9686 -0.783 -0.201350 -84.892729 1.835806 3.833281 0
91479 9.578069 22.757 1.061 176.3167 -0.781 -0.292423 -145.065200 1.609550 4.209012 1
101898 11.409357 -30.351 1.650 134.1717 -0.779 -0.344680 -123.199381 1.688006 2.390542 0
23287 239.672045 27.580 1.193 177.6420 -0.779 -0.215043 -107.641659 1.478336 3.905233 0
97986 352.987849 -31.652 1.348 164.9227 -0.777 -0.337490 -154.524447 1.732243 3.338320 0
86228 326.073872 -47.234 1.869 164.9629 -0.776 -0.256923 -117.670331 1.742971 2.731177 0
68484 66.455118 -18.119 0.945 181.3740 -0.775 -0.178179 -91.442036 1.815929 4.713396 1
75688 341.290811 -62.625 1.755 185.1375 -0.774 -0.169631 -89.227696 1.778051 3.179635 0
88885 37.022542 -32.998 1.542 156.4778 -0.773 -0.230174 -98.946506 1.848356 2.906671 0
1279 188.271933 22.099 1.625 166.9478 -0.772 -0.264342 -122.818191 1.863161 3.001518 0
89673 14.233003 34.474 1.259 173.3858 -0.772 -0.168658 -82.001958 1.606950 3.673059 0
48989 275.099969 49.244 0.884 167.2402 -0.771 -0.217802 -101.407888 1.816648 4.571166 0
15082 135.324169 -3.134 1.125 178.4142 -0.770 -0.204844 -103.071646 1.873750 4.084444 0
95188 27.713690 -35.327 1.729 173.0262 -0.770 -0.249860 -121.180008 1.445528 2.997108 0
16692 232.739639 13.756 1.448 156.7334 -0.770 -0.228383 -98.368969 1.714638 3.028887 0
11966 182.158505 15.791 0.859 178.2758 -0.770 -0.253361 -127.365174 1.854348 4.977637 0
94852 15.415840 -40.232 1.575 162.8118 -0.770 -0.304404 -137.237591 1.659034 2.984832 0
17077 175.925149 60.838 1.782 190.0023 -0.769 -0.187862 -101.941118 1.858494 3.233724 0
30633 109.244845 51.387 1.354 201.2610 -0.769 -0.174824 -101.651355 1.936790 4.061811 1
81795 21.757255 -40.686 1.088 151.7340 -0.768 -0.176454 -73.102394 2.028200 3.557856 0
105986 19.087944 -9.514 1.844 192.1228 -0.767 -0.147725 -81.236008 2.002751 3.205407 1
26104 218.057657 56.660 0.866 132.5183 -0.767 -0.249494 -87.859948 1.610321 3.676884 1
61859 79.026384 -31.759 1.873 181.5363 -0.767 -0.182628 -93.826097 1.587545 3.001930 0
1114 176.014464 4.733 1.558 165.8614 -0.767 -0.237552 -109.509747 1.541613 3.060361 0
3607 180.383086 -15.315 1.214 156.3234 -0.766 -0.162190 -69.638940 1.855154 3.395664 0
83884 44.907208 -27.426 1.482 199.1749 -0.765 -0.313989 -180.300139 1.244920 3.791835 0
103810 359.009213 -27.188 1.592 174.1828 -0.764 -0.319199 -156.051473 1.751301 3.171382 0
73866 37.580875 -45.693 1.181 173.3180 -0.764 -0.208738 -101.441265 1.871788 3.837461 0
10455 219.535075 36.059 1.616 192.4721 -0.763 -0.310735 -171.250646 1.240358 3.472731 0
67535 348.604325 -72.945 1.368 169.7382 -0.763 -0.212829 -100.870872 1.512952 3.403114 1
33213 255.147724 51.807 1.255 172.8805 -0.761 -0.255233 -123.660803 1.539350 3.670338 0
70145 36.393186 -51.347 0.881 173.1818 -0.761 -0.212663 -103.251249 1.977386 4.744481 1
80867 14.721577 -40.248 1.058 149.3319 -0.761 -0.169408 -68.852103 1.769228 3.571472 0
83013 13.867356 37.445 1.051 166.6226 -0.761 -0.244508 -113.337386 1.701495 4.005111 1
2505 186.880524 27.102 1.481 168.8683 -0.760 -0.227126 -106.985317 1.596929 3.217346 0
