# 641947 non-edge tracers in default, 14312 voids
# VoidID CoreParticle CoreDens Zone#Parts Void#Zones Void#Parts VoidVol(Mpc/h^3) VoidDensRatio
28139 355068 0.041466 195 1 195 199151802.862400 1.838872
34064 390204 0.047762 56 1 56 55854749.763166 4.318744
72198 578293 0.053111 95 1 95 51997941.186528 4.834952
25617 330600 0.054172 447 1 447 565049426.158182 1.679292
25454 328959 0.054382 216 1 216 108537244.906355 3.116925
22933 298931 0.064547 136 1 136 115376781.195080 1.181323
24880 321933 0.068560 71 1 71 68186113.498890 1.324916
25191 325791 0.074040 335 1 335 294510176.236324 2.549572
22571 294610 0.074518 36 1 36 30684718.269270 1.220780
23730 307951 0.076646 73 1 73 82115575.044634 1.190808
42599 431213 0.081947 148 1 148 131622173.939824 2.070920
23773 308541 0.086318 40 1 40 23117631.574220 1.470159
55344 478400 0.087331 37 1 37 50893067.639129 2.402985
20974 277370 0.098308 151 1 151 159332547.452601 1.468772
54058 473208 0.099300 139 1 139 175282409.463869 1.709003
57797 487945 0.100382 61 1 61 98475228.375529 1.239818
22610 295165 0.100743 103 1 103 89136020.923455 1.433267
27368 348518 0.106298 69 1 69 36773015.541667 1.180904
82083 650097 0.106622 36 1 36 45249535.737657 2.211012
65336 518088 0.108753 79 1 79 81898086.923568 2.552235
57515 486923 0.109202 13 1 13 17666857.173416 1.837696
52739 468067 0.109378 127 1 127 79878677.990426 3.009086
33174 385748 0.114248 29 1 29 15136684.671205 1.447296
65629 519624 0.115120 23 1 23 28275258.524838 1.081098
18499 252773 0.121329 108 1 108 65376291.006393 2.933971
28410 357051 0.125721 29 1 29 35855649.781670 1.078876
25999 334854 0.125998 58 1 58 146911134.548713 1.410493
55692 479823 0.127275 19 1 19 26230844.947804 2.151559
79430 631623 0.128819 67 1 67 50116715.811740 2.647746
25022 323665 0.130548 82 1 82 97249928.713348 1.106044
71188 568132 0.133773 115 1 115 153280450.126083 1.672174
19415 261990 0.134613 144 1 144 68362966.820149 3.234618
59464 494198 0.138036 65 1 65 35939912.006294 2.338034
66213 522915 0.140220 46 1 46 46797480.037000 2.756846
29738 366387 0.143493 36 1 36 18988061.453174 1.084086
32075 379956 0.143631 51 1 51 45700286.358598 1.151217
54658 475637 0.145435 54 1 54 74644919.380718 1.479410
22551 294268 0.145912 252 1 252 199762947.367056 2.270937
53538 471208 0.146447 18 1 18 51608214.876745 1.370329
11745 181079 0.146480 104 1 104 63197948.446318 1.977007
71283 569122 0.147043 77 1 77 54298350.396781 1.118548
